iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
CHL,South America,Chile,7/25/2020,343592,2288,2106.571,9020,106,82.143,17883.902,119.09,109.647,469.489,5.517,4.276,0.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19133,1496821,77.909,0.996,16646,0.866,0.1266,7.9,tests performed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84.72,19212362,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NULL,2.11,80.18,0.851,NULL,NULL,NULL,NULL
CHL,South America,Chile,7/26/2020,345790,2198,2122.857,9112,92,87,17998.308,114.406,110.494,474.278,4.789,4.528,0.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19709,1516530,78.935,1.026,17215,0.896,0.1233,8.1,tests performed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84.72,19212362,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NULL,2.11,80.18,0.851,9882.3,15.46,9.77,514.3719445
CHL,South America,Chile,7/27/2020,347923,2133,2127.714,9187,75,79.143,18109.33,111.022,110.747,478.182,3.904,4.119,0.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21544,1538074,80.056,1.121,17958,0.935,0.1185,8.4,tests performed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84.72,19212362,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NULL,2.11,80.18,0.851,NULL,NULL,NULL,NULL
CHL,South America,Chile,7/28/2020,349800,1877,2159.571,9240,53,80.429,18207.027,97.698,112.405,480.94,2.759,4.186,0.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17596,1555670,80.972,0.916,18673,0.972,0.1157,8.6,tests performed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84.72,19212362,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NULL,2.11,80.18,0.851,NULL,NULL,NULL,NULL
CHL,South America,Chile,7/29/2020,351575,1775,2167.571,9278,38,79.429,18299.416,92.388,112.822,482.918,1.978,4.134,0.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17130,1572800,81.864,0.892,19293,1.004,0.1124,8.9,tests performed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84.72,19212362,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NULL,2.11,80.18,0.851,NULL,NULL,NULL,NULL
CHL,South America,Chile,7/30/2020,353536,1961,2111,9377,99,77,18401.485,102.07,109.877,488.071,5.153,4.008,0.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20295,1593095,82.92,1.056,19497,1.015,0.1083,9.2,tests performed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84.72,19212362,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NULL,2.11,80.18,0.851,NULL,NULL,NULL,NULL
CHL,South America,Chile,7/31/2020,355667,2131,2051.857,9457,80,77.571,18512.404,110.918,106.799,492.235,4.164,4.038,0.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22874,1615969,84.111,1.191,19754,1.028,0.1039,9.6,tests performed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84.72,19212362,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NULL,2.11,80.18,0.851,NULL,NULL,NULL,NULL
CHL,South America,Chile,8/1/2020,357658,1991,2009.429,9533,76,73.286,18616.035,103.631,104.59,496.191,3.956,3.815,0.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24398,1640367,85.381,1.27,20507,1.067,0.098,10.2,tests performed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.5,19212362,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NULL,2.11,80.18,0.851,NULL,NULL,NULL,NULL
CHL,South America,Chile,8/2/2020,359731,2073,1991.571,9608,75,70.857,18723.934,107.899,103.661,500.095,3.904,3.688,0.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24899,1665266,86.677,1.296,21248,1.106,0.0937,10.7,tests performed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.5,19212362,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NULL,2.11,80.18,0.851,10103.2,15.22,9.08,525.8697499
CHL,South America,Chile,8/3/2020,361493,1762,1938.571,9707,99,74.286,18815.646,91.712,100.902,505.248,5.153,3.867,0.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24269,1689535,87.94,1.263,21637,1.126,0.0896,11.2,tests performed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.5,19212362,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NULL,2.11,80.18,0.851,NULL,NULL,NULL,NULL
